projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
2022台灣芭蕾舞團全新創作 《細雨灑落群山 》蕭泰然C調大提琴協奏曲,台灣芭蕾舞團,425818.0,200.0,https://www.zeczec.com/projects/taiwanballetcompanyperformance,"我們是台灣芭蕾舞團，即將在年底登上衛武營國家藝術文化中心戲劇院演出，台灣芭蕾舞團藝術總監莊媛婷創作舞蹈作品《細雨灑落群山》音樂選自已故台灣音樂家蕭泰然老師作品 「蕭泰然C調大提琴協奏曲」,zeczec",15 天,2022/09/28 20:00 – 2022/11/15 23:59
,,,,https://www.zeczec.com/projects/powerfun,,,
,,,,https://www.zeczec.com/projects/shopwoofwoof-box,,,
,,,,https://www.zeczec.com/projects/acera-energy-cup,,,
,,,,https://www.zeczec.com/projects/reo,,,
,,,,https://www.zeczec.com/projects/color4,,,
,,,,https://www.zeczec.com/projects/show-fun-box,,,
,,,,https://www.zeczec.com/projects/incoolcup,,,
,,,,https://www.zeczec.com/projects/dosuncg135,,,
,,,,https://www.zeczec.com/projects/hlt-quilt,,,
《ShowTime》訂製精裝手帳｜登上時裝秀 未來由你來掌握,一種選擇 | a kind of choice,96440.0,660.0,https://www.zeczec.com/projects/akindofchoice,"一本專屬為您客製化的手帳，能幫助你梳理思緒、提高效率。在書寫文字時重新獲得力量，創造屬於你的舞台,zeczec",14 天,2022/10/12 12:00 – 2022/11/15 02:00
Studio Smoll 巧翻皮夾2.0｜流暢隨行，快意感應,StudioSmoll,431506.0,1460.0,https://www.zeczec.com/projects/revolve-wallet2,"使用義大利植鞣皮革，製程環保，化繁為簡滿足各種日常所需，簡約而細膩的陪伴我們每個外出時刻。,zeczec",52 天,2022/10/17 21:00 – 2022/12/22 23:59
▍Suzzi 雙芯護淨蓮蓬頭 ▍三重防護，打造純淨水，耗材減量愛護地球,Suzzi,523921.0,999.0,https://www.zeczec.com/projects/suzzishower,"你在乎飲用水，是不是卻忽略了生活用水? 首支以""台灣水質""而設計的蓮蓬頭，只需從出水末端就可以簡易、快速、輕鬆改善水質。,zeczec",29 天,2022/10/20 12:00 – 2022/11/30 03:00
